file_name,cell_code,grid_row,grid_col,width_px,height_px,total_pixels,tile_area_km2,pixel_area_m2,unidentifiable_pixels,unidentifiable_ratio,unidentifiable_area_km2,unidentifiable_area_ha,forest_pixels,forest_ratio,forest_area_km2,forest_area_ha,rice_field_pixels,rice_field_ratio,rice_field_area_km2,rice_field_area_ha,water_pixels,water_ratio,water_area_km2,water_area_ha,residential_pixels,residential_ratio,residential_area_km2,residential_area_ha
S1_355_3_101_0306_2023_infered.png,355,3,101,321,301,96621,9.0,93.14745241717638,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,62793,0.6498897755146397,5.849007979631757,584.9007979631757,33828,0.35011022448536033,3.150992020368243,315.0992020368243
S1_356_3_102_0306_2023_infered.png,356,3,102,320,301,96320,9.0,93.43853820598007,1,1.0382059800664452e-05,9.343853820598008e-05,0.009343853820598007,0,0.0,0.0,0.0,0,0.0,0.0,0.0,62485,0.6487230066445183,5.838507059800665,583.8507059800664,33834,0.35126661129568104,3.1613995016611294,316.13995016611295
S1_357_3_103_0306_2023_infered.png,357,3,103,320,301,96320,9.0,93.43853820598007,54705,0.5679505813953488,5.111555232558139,511.15552325581393,0,0.0,0.0,0.0,0,0.0,0.0,0.0,28450,0.29536960132890366,2.658326411960133,265.8326411960133,13165,0.13667981727574752,1.2301183554817277,123.01183554817277
S1_483_4_102_0306_2023_infered.png,483,4,102,320,301,96320,9.0,93.43853820598007,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,61051,0.6338351328903654,5.704516196013289,570.451619601329,35269,0.36616486710963453,3.295483803986711,329.5483803986711
S1_484_4_103_0306_2023_infered.png,484,4,103,320,301,96320,9.0,93.43853820598007,7027,0.0729547342192691,0.6565926079734219,65.65926079734218,0,0.0,0.0,0.0,0,0.0,0.0,0.0,81085,0.8418293189368771,7.576463870431894,757.6463870431894,8208,0.08521594684385382,0.7669435215946844,76.69435215946844
S1_485_4_104_0306_2023_infered.png,485,4,104,321,301,96621,9.0,93.14745241717638,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33840,0.3502344210885832,3.1521097897972488,315.21097897972487,62781,0.6497655789114167,5.847890210202751,584.7890210202751
S1_612_5_104_0306_2023_infered.png,612,5,104,321,301,96621,9.0,93.14745241717638,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,65082,0.6735802775794082,6.062222498214673,606.2222498214674,31539,0.3264197224205918,2.9377775017853263,293.77775017853264
S1_2321_19_35_0306_2023_infered.png,2321,19,35,320,301,96320,9.0,93.43853820598007,9,9.343853820598006e-05,0.0008409468438538206,0.08409468438538206,0,0.0,0.0,0.0,0,0.0,0.0,0.0,78046,0.8102782392026578,7.292504152823921,729.250415282392,18265,0.1896283222591362,1.7066549003322258,170.66549003322257
S1_2322_19_36_0306_2023_infered.png,2322,19,36,321,301,96621,9.0,93.14745241717638,17899,0.18524958342389336,1.6672462508150403,166.72462508150403,2928,0.030303971186388053,0.27273574067749246,27.273574067749244,6,6.209830161145093e-05,0.0005588847145030583,0.055888471450305836,45169,0.4674863642479378,4.207377278231441,420.73772782314404,30619,0.31689798284016935,2.852081845561524,285.2081845561524
S1_2446_20_33_0306_2023_infered.png,2446,20,33,321,301,96621,9.0,93.14745241717638,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,79753,0.8254209747363409,7.428788772627068,742.8788772627069,16868,0.17457902526365904,1.5712112273729313,157.12112273729312
S1_2447_20_34_0306_2023_infered.png,2447,20,34,320,301,96320,9.0,93.43853820598007,22,0.00022840531561461793,0.0020556478405315613,0.20556478405315612,0,0.0,0.0,0.0,0,0.0,0.0,0.0,75864,0.787624584717608,7.088621262458472,708.8621262458472,20434,0.2121470099667774,1.9093230897009967,190.93230897009968
