cell_code,grid_row,grid_col,kept_file,skipped_files,duplicate_count
355,3,101,S1_355_3_101_0306_2023_infered.png,S1_355_3_101_0306_2023(1)_infered.png,1
357,3,103,S1_357_3_103_0306_2023_infered.png,S1_357_3_103_0306_2023(1)_infered.png,1
484,4,103,S1_484_4_103_0306_2023_infered.png,S1_484_4_103_0306_2023(1)_infered.png,1
485,4,104,S1_485_4_104_0306_2023_infered.png,S1_485_4_104_0306_2023(1)_infered.png,1
612,5,104,S1_612_5_104_0306_2023_infered.png,S1_612_5_104_0306_2023(1)_infered.png,1
2321,19,35,S1_2321_19_35_0306_2023_infered.png,S1_2321_19_35_0306_2023(1)_infered.png,1
2322,19,36,S1_2322_19_36_0306_2023_infered.png,S1_2322_19_36_0306_2023(1)_infered.png,1
