province_code,tile_hit_count,assigned_tile_area_km2,assigned_tile_area_ha,total_area_km2,total_area_ha,unidentifiable_pixels_equiv,unidentifiable_area_km2,unidentifiable_area_ha,forest_pixels_equiv,forest_area_km2,forest_area_ha,rice_field_pixels_equiv,rice_field_area_km2,rice_field_area_ha,water_pixels_equiv,water_area_km2,water_area_ha,residential_pixels_equiv,residential_area_km2,residential_area_ha
1,124,924.4731363052615,92447.31363052619,924.4731363052615,92447.31363052616,83367.98325238982,7.779166746648351,777.9166746648355,6874.148850623652,0.6420543615349138,64.20543615349139,271.25068394754106,0.025298911784476144,2.529891178447615,6725122.048377601,627.5917623697835,62759.17623697832,3090549.7003211896,288.43485391551036,28843.48539155105
2,462,3835.6495023640637,383564.9502364064,3835.6495023640628,383564.9502364063,452960.63199443836,42.27268646221407,4227.268646221408,80946.79351469707,7.5533138870002325,755.3313887000229,3248.4593081482058,0.3033877153978444,30.338771539784442,28016188.87200715,2614.698253055408,261469.8253055405,12544623.416165022,1170.821861244043,117082.18612440446
3,243,1777.0234839634513,177702.3483963452,1777.023483963452,177702.3483963452,37228.32370408382,3.4748007229792055,347.4800722979207,159.72326567163154,0.01491285909961027,1.4912859099610272,1.8119505793173065,0.0001687968123898909,0.01687968123898909,13551811.6071505,1264.8251622522082,126482.51622522081,5450537.034449362,508.7084393323526,50870.84393323522
4,235,1896.9988110535269,189699.88110535266,1896.9988110535273,189699.88110535275,1414307.34879812,131.9914290758839,13199.142907588392,18651.425448250888,1.739717195040317,173.97171950403174,1638.4660963146657,0.1530322355171535,15.303223551715345,11788385.408421284,1100.1681388845157,110016.81388845156,7103563.072435998,662.9464936625703,66294.649366257
5,139,1028.0074463140643,102800.74463140644,1028.0074463140638,102800.74463140639,120786.81990717775,11.26291928140052,1126.291928140051,7229.683764108566,0.6748654359090057,67.48654359090055,287.9105378292379,0.026886964491813128,2.688696449181313,6576920.553498626,613.775403762237,61377.54037622378,4310448.526273726,402.26737087002556,40226.737087002555
6,937,8246.757755306151,824675.7755306151,8246.757755306151,824675.7755306151,8953570.474300828,835.6018272175659,83560.1827217563,85793.29285590844,8.005280663238299,800.5280663238307,1180.4712691584762,0.11007697627595785,11.007697627595785,45925299.64563769,4286.364749320207,428636.4749320204,33393975.57194098,3116.675821128863,311667.5821128865
7,172,1417.5260266680325,141752.6026668033,1417.526026668033,141752.6026668033,64530.87970900045,6.022245120293189,602.2245120293189,6214.981872327744,0.5799480291324973,57.99480291324974,355.865531128002,0.03318503012750115,3.3185030127501154,9718766.600797083,907.0548332275295,90705.4833227529,5398519.509309398,503.8358152609502,50383.58152609503
