class_name,rgb,image_count,total_pixels,pixel_ratio,total_area_km2,total_area_ha,area_ratio
Unidentifiable,"(0, 0, 0)",2130,11140273,0.05423673056536584,1039.6683619826463,103966.8361982638,0.05423413468871394
Forest,"(0, 255, 0)",2130,208251,0.0010138758158770437,19.43255746033471,1943.2557460334706,0.0010136962681447422
Rice field,"(255, 0, 0)",2130,7004,3.4099169821046785e-05,0.6538799795075605,65.387997950756,3.410954509689935e-05
Water,"(0, 255, 255)",2130,122644290,0.5970971548103527,11446.394289867094,1144639.428986712,0.5970993369779392
Residential,"(255, 255, 0)",2130,71401077,0.34761813963858335,6663.850910710417,666385.0910710403,0.34761872252010523
